iter	Passed	Remaining
464	746	858
465	748	857
466	749	855
467	750	853
468	751	850
469	752	848
470	753	846
471	754	844
472	756	842
473	757	840
474	758	837
475	759	835
476	760	833
477	761	831
478	762	829
479	763	827
480	764	825
481	766	823
482	767	821
483	768	819
484	769	817
485	771	815
486	772	813
487	773	811
488	774	809
489	775	807
490	777	805
491	778	803
492	779	801
493	780	799
494	781	797
495	782	794
496	783	792
497	784	790
498	785	788
499	786	786
500	787	784
501	788	782
502	790	780
503	791	778
504	792	776
505	793	774
506	794	772
507	795	770
508	796	768
509	797	766
510	799	764
511	800	763
512	801	761
513	803	759
514	804	757
515	805	755
516	806	753
517	807	751
518	808	749
519	809	747
520	810	745
521	812	743
522	813	741
523	814	739
524	815	738
525	816	736
526	817	734
527	818	732
528	820	730
529	821	728
530	822	726
531	823	724
532	824	722
533	825	720
534	826	718
535	828	717
536	829	715
537	831	713
538	832	711
539	833	709
540	834	707
541	835	705
542	836	703
543	837	701
544	838	700
545	839	698
546	841	696
547	842	694
548	843	692
549	844	691
550	846	689
551	847	687
552	848	685
553	849	683
554	850	681
555	851	679
556	852	678
557	853	676
558	854	674
559	855	672
560	857	670
561	858	669
562	860	667
563	861	665
564	862	663
565	863	662
566	864	660
567	866	658
568	867	657
569	868	655
570	870	653
571	871	652
572	873	650
573	874	648
574	875	647
575	876	645
576	877	643
577	878	641
578	879	639
579	880	637
580	882	636
581	883	634
582	884	632
583	885	630
584	886	629
585	887	627
586	889	625
587	889	623
588	891	621
589	892	620
590	893	618
591	894	616
592	895	614
593	896	612
594	898	611
595	899	609
596	901	608
597	902	606
598	903	604
599	904	603
600	905	601
601	906	599
602	908	597
603	909	596
604	910	594
605	911	592
606	913	591
607	914	589
608	915	587
609	916	586
610	917	584
611	918	582
612	919	580
613	920	578
614	922	577
615	923	575
616	924	573
617	925	572
618	926	570
619	928	569
620	929	567
621	930	565
622	931	563
623	932	562
624	934	560
625	935	558
626	936	557
627	937	555
628	939	553
629	941	552
630	944	552
631	945	550
632	947	549
633	948	547
634	950	546
635	951	544
636	953	543
637	955	542
638	957	540
639	959	539
640	960	538
641	962	536
642	964	535
643	967	534
644	969	533
645	971	532
646	973	531
647	975	529
648	977	528
649	978	527
650	980	525
651	982	524
652	983	522
653	985	521
654	986	519
655	988	518
656	989	516
657	991	515
658	992	513
659	993	511
660	995	510
661	996	508
662	997	507
663	999	505
664	1000	504
665	1002	502
666	1004	501
667	1005	499
668	1007	498
669	1008	496
670	1013	496
671	1014	495
672	1016	493
673	1019	492
674	1020	491
675	1022	490
676	1023	488
677	1027	487
678	1028	486
679	1030	484
680	1031	483
681	1032	481
682	1034	480
683	1035	478
684	1037	476
685	1038	475
686	1040	473
687	1041	472
688	1043	470
689	1045	469
690	1047	468
691	1050	467
692	1051	465
693	1053	464
694	1054	462
695	1056	461
696	1058	459
697	1059	458
698	1060	456
699	1061	455
700	1063	453
701	1064	451
702	1066	450
703	1067	448
704	1069	447
705	1070	445
706	1072	444
707	1073	442
708	1075	441
709	1077	440
710	1079	438
711	1081	437
712	1085	436
713	1087	435
714	1089	434
715	1090	432
716	1091	430
717	1093	429
718	1094	427
719	1096	426
720	1097	424
721	1098	422
722	1099	421
723	1100	419
724	1101	417
725	1102	416
726	1104	414
727	1105	412
728	1106	411
729	1107	409
730	1108	408
731	1110	406
732	1111	404
733	1112	403
734	1113	401
735	1114	399
736	1115	398
737	1116	396
738	1118	394
739	1119	393
740	1120	391
741	1121	389
742	1122	388
743	1124	386
744	1125	385
745	1127	383
746	1128	382
747	1129	380
748	1130	379
749	1131	377
750	1133	375
751	1134	374
752	1135	372
753	1136	370
754	1137	369
755	1139	367
756	1141	366
757	1142	364
758	1143	363
759	1144	361
760	1145	359
761	1146	358
762	1147	356
763	1148	354
764	1149	353
765	1151	351
766	1153	350
767	1154	348
768	1155	347
769	1156	345
770	1157	343
771	1158	342
772	1159	340
773	1160	338
774	1161	337
775	1163	335
776	1164	334
777	1165	332
778	1167	331
779	1168	329
780	1169	328
781	1170	326
782	1171	324
783	1172	323
784	1173	321
785	1175	319
786	1176	318
787	1177	316
788	1178	315
789	1179	313
790	1180	312
791	1182	310
792	1183	309
793	1185	307
794	1186	305
795	1187	304
796	1188	302
797	1189	301
798	1190	299
799	1191	297
800	1192	296
801	1194	294
802	1195	293
803	1197	291
804	1198	290
805	1199	288
806	1200	287
807	1201	285
808	1202	283
809	1203	282
810	1204	280
811	1205	279
812	1206	277
813	1207	276
814	1209	274
815	1211	273
816	1212	271
817	1213	270
818	1214	268
819	1215	266
820	1216	265
821	1218	263
822	1220	262
823	1221	260
824	1222	259
825	1223	257
826	1224	256
827	1225	254
828	1226	253
829	1228	251
830	1229	250
831	1230	248
832	1231	246
833	1232	245
834	1233	243
835	1234	242
836	1235	240
837	1236	239
838	1238	237
839	1239	236
840	1240	234
841	1241	232
842	1243	231
843	1244	230
844	1245	228
845	1247	226
846	1248	225
847	1249	223
848	1251	222
849	1252	221
850	1254	219
851	1255	218
852	1256	216
853	1257	214
854	1259	213
855	1261	212
856	1264	211
857	1265	209
858	1267	208
859	1268	206
860	1269	204
861	1270	203
862	1271	201
863	1272	200
864	1273	198
865	1275	197
866	1276	195
867	1277	194
868	1278	192
869	1279	191
870	1280	189
871	1281	188
872	1282	186
873	1283	185
874	1284	183
875	1285	182
876	1287	180
877	1288	179
878	1289	177
879	1290	176
880	1291	174
881	1293	173
882	1294	171
883	1295	170
884	1296	168
885	1297	166
886	1298	165
887	1300	163
888	1301	162
889	1302	160
890	1303	159
891	1304	157
892	1305	156
893	1306	154
894	1307	153
895	1308	151
896	1309	150
897	1310	148
898	1312	147
899	1313	145
900	1314	144
901	1315	142
902	1316	141
903	1317	139
904	1318	138
905	1319	136
906	1320	135
907	1322	133
908	1323	132
909	1324	130
910	1325	129
911	1326	127
912	1327	126
913	1328	124
914	1329	123
915	1330	122
916	1332	120
917	1333	119
918	1335	117
919	1336	116
920	1337	114
921	1338	113
922	1339	111
923	1341	110
924	1342	108
925	1343	107
926	1344	105
927	1345	104
928	1346	102
929	1347	101
930	1348	99
931	1349	98
932	1350	96
933	1351	95
934	1352	94
935	1353	92
936	1354	91
937	1355	89
938	1356	88
939	1357	86
940	1358	85
941	1359	83
942	1360	82
943	1361	80
944	1362	79
945	1363	77
946	1365	76
947	1366	74
948	1367	73
949	1368	72
950	1369	70
951	1370	69
952	1371	67
953	1372	66
954	1373	64
955	1375	63
956	1376	61
957	1377	60
958	1378	58
959	1380	57
960	1381	56
961	1382	54
962	1383	53
963	1384	51
964	1386	50
965	1387	48
966	1388	47
967	1389	45
968	1390	44
969	1392	43
970	1393	41
971	1394	40
972	1395	38
973	1396	37
974	1397	35
975	1399	34
976	1400	32
977	1401	31
978	1402	30
979	1403	28
980	1404	27
981	1405	25
982	1407	24
983	1409	22
984	1411	21
985	1413	20
986	1415	18
987	1416	17
988	1417	15
989	1419	14
990	1421	12
991	1422	11
992	1423	10
993	1424	8
994	1426	7
995	1427	5
996	1428	4
997	1429	2
998	1430	1
999	1431	0
